Country,Year,Incarcerated Population,Admissions Number,Releases Number,Release Rate,Population Size,Population Size 15+,Incarcerated Prevalence,Adjusted Incarceration Prevalence,Recidivism Percentage,Recidivism Probability,Recidivism Follow Up Years,Life Expectancy at Age 15,,,,,,,,,,,,
Peru,1990,17859,NA,NA,NA,22109000,13404000,80.77705912,133.2363474,NA,NA,NA,56.5,,,,,,,,,,,,
Peru,1991,NA,NA,NA,NA,22583000,13778000,NA,NA,NA,NA,NA,56.5,,,,,,,,,,,,
Peru,1992,NA,NA,NA,NA,23047000,14150000,NA,NA,NA,NA,NA,56.8,,,,,,,,,,,,
Peru,1993,NA,NA,NA,NA,23514000,14534000,NA,NA,NA,NA,NA,56.9,,,,,,,,,,,,
Peru,1994,NA,NA,NA,NA,23983000,14933000,NA,NA,NA,NA,NA,57.1,,,,,,,,,,,,
Peru,1995,20899,NA,NA,NA,24449000,15344000,85.47997873,136.2030761,NA,NA,NA,57.2,,,,,,,,,,,,
Peru,1996,NA,NA,NA,NA,24907000,15756000,NA,NA,NA,NA,NA,57.4,,,,,,,,,,,,
Peru,1997,NA,NA,NA,NA,25365000,16177000,NA,NA,NA,NA,NA,57.6,,,,,,,,,,,,
Peru,1998,NA,NA,NA,NA,25818000,16604000,NA,NA,NA,NA,NA,57.8,,,,,,,,,,,,
Peru,1999,NA,NA,NA,NA,26252000,17027000,NA,NA,NA,NA,NA,58.2,,,,,,,,,,,,
Peru,2000,27734,NA,NA,NA,26654000,17435000,104.0519247,159.0708345,NA,NA,NA,58.6,,,,,,,,,,,,
Peru,2001,NA,NA,NA,NA,27015000,17825000,NA,NA,NA,NA,NA,59,,,,,,,,,,,,
Peru,2002,27417,NA,NA,NA,27335000,18193000,100.2999817,150.700819,NA,NA,NA,59.4,,,,,,,,,,,,
Peru,2003,NA,NA,NA,NA,27623000,18541000,NA,NA,NA,NA,NA,59.8,,,,,,,,,,,,
Peru,2004,31311,NA,NA,NA,27894000,18873000,112.2499462,165.9036719,NA,NA,NA,60.1,,,,,,,,,,,,
Peru,2005,NA,NA,NA,NA,28147000,19183000,NA,NA,NA,NA,NA,60.3,,,,,,,,,,,,
Peru,2006,35835,NA,NA,NA,28381000,19471000,126.2640499,184.0429356,NA,NA,NA,60.3,,,,,,,,,,,,
Peru,2007,NA,NA,NA,NA,28600000,19739000,NA,NA,NA,NA,NA,60.3,,,,,,,,,,,,
Peru,2008,43286,NA,NA,NA,28806000,20000000,150.2673054,216.43,NA,NA,NA,60.3,,,,,,,,,,,,
Peru,2009,NA,NA,NA,NA,29009000,20257000,NA,NA,NA,NA,NA,60.3,,,,,,,,,,,,
Peru,2010,45464,NA,NA,NA,29230000,20514000,155.53883,221.6242566,NA,NA,NA,60.5,,,,,,,,,,,,
Peru,2011,52700,NA,NA,NA,29478000,20779000,178.7773933,253.6214447,NA,NA,NA,60.8,,,,,,,,,,,,
Peru,2012,58019,25262,17773,0.306330685,29750000,21056000,195.0218487,275.5461626,NA,NA,NA,61.2,,,,,,,,,,,,
Peru,2013,67597,24506,18918,0.279864491,30039000,21344000,225.0307933,316.7025862,NA,NA,NA,61.5,,,,,,,,,,,,
Peru,2014,70276,21464,17715,0.252077523,30354000,21650000,231.521381,324.6004619,NA,NA,NA,61.9,,,,,,,,,,,,
Peru,2015,77242,22762,17387,0.225097745,30712000,21988000,251.504298,351.2916136,NA,NA,NA,62.1,,,,,,,,,,,,
Peru,2016,79644,23970,19348,0.242931043,31133000,22369000,255.8185848,356.0463141,0.2628,NA,NA,62.2,,,,,,,,,,,,
Peru,2017,85811,23490,19650,0.228991621,31605000,22800000,271.5108369,376.3640351,0.2595,NA,NA,62.3,,,,,,,,,,,,
Peru,2018,87995,NA,NA,NA,32204000,23361000,273.2424544,376.6747999,0.2597,NA,NA,62.4,,,,,,,,,,,,
Peru,2019,95548,23499,19517,0.204263826,32825000,23949000,291.083016,398.9644662,0.2547,NA,NA,62.4,,,,,,,,,,,,
Peru,2020,92195,13254,21587,0.234145019,33305000,24421000,276.8202973,377.5234429,0.2536,NA,NA,59.8,,,,,,,,,,,,
Peru,2021,87245,17318,16335,0.18723136,33715000,24838000,258.7720599,351.2561398,0.2537,NA,NA,58.5,,,,,,,,,,,,
Peru,2022,90293,NA,NA,NA,34050000,25332000,265.1776799,356.4384968,0.2471,NA,NA,59.5,,,,,,,,,,,,
Brazil,1990,90000,NA,NA,NA,150706000,97598000,59.71892294,92.21500441,NA,NA,NA,56.2,,,,,,,,,,,,
Brazil,1991,114300,NA,NA,NA,153336000,99984000,74.54218188,114.3182909,NA,NA,NA,56.3,,,,,,,,,,,,
Brazil,1992,126200,NA,NA,NA,155901000,102414000,80.94880726,123.2253403,NA,NA,NA,56.5,,,,,,,,,,,,
Brazil,1993,126200,NA,NA,NA,158441000,104904000,79.65110041,120.3004652,NA,NA,NA,56.7,,,,,,,,,,,,
Brazil,1994,129200,NA,NA,NA,160980000,107454000,80.25841719,120.237497,NA,NA,NA,56.9,,,,,,,,,,,,
Brazil,1995,148800,NA,NA,NA,163515000,110052000,91.00082561,135.2088104,NA,NA,NA,57,,,,,,,,,,,,
Brazil,1996,NA,NA,NA,NA,166037000,112692000,NA,NA,NA,NA,NA,57.2,,,,,,,,,,,,
Brazil,1997,170600,NA,NA,NA,168547000,115369000,101.2180579,147.8733455,NA,NA,NA,57.4,,,,,,,,,,,,
Brazil,1998,NA,NA,NA,NA,171040000,118060000,NA,NA,NA,NA,NA,57.6,,,,,,,,,,,,
Brazil,1999,194100,NA,NA,NA,173486000,120741000,111.8822268,160.7573235,NA,NA,NA,57.7,,,,,,,,,,,,
Brazil,2000,232800,NA,NA,NA,175874000,123404000,132.3674904,188.6486662,NA,NA,NA,57.8,,,,,,,,,,,,
Brazil,2001,233900,NA,NA,NA,178212000,126042000,131.2481763,185.5730629,NA,NA,NA,58,,,,,,,,,,,,
Brazil,2002,239300,NA,NA,NA,180477000,128644000,132.5930728,186.0172258,NA,NA,NA,58.1,,,,,,,,,,,,
Brazil,2003,308300,NA,NA,NA,182629000,131183000,168.8121821,235.0152078,NA,NA,NA,58.2,,,,,,,,,,,,
Brazil,2004,336400,NA,NA,NA,184722000,133670000,182.1114973,251.664547,NA,NA,NA,58.5,,,,,,,,,,,,
Brazil,2005,361400,NA,NA,NA,186797000,136110000,193.4720579,265.5205349,NA,NA,NA,59,,,,,,,,,,,,
Brazil,2006,401200,NA,NA,NA,188821000,138499000,212.4763665,289.6771818,NA,NA,NA,59.1,,,,,,,,,,,,
Brazil,2007,422400,NA,NA,NA,190779000,140836000,221.4080166,299.9233151,NA,NA,NA,59.3,,,,,,,,,,,,
Brazil,2008,451400,NA,NA,NA,192672000,143144000,234.2841721,315.3467837,NA,NA,NA,59.6,,,,,,,,,,,,
Brazil,2009,473600,NA,NA,NA,194518000,145440000,243.4736117,325.6325633,NA,NA,NA,59.7,,,,,,,,,,,,
Brazil,2010,496300,NA,NA,NA,196353000,147746000,252.7590615,335.9143395,NA,NA,NA,59.9,,,,,,,,,,,,
Brazil,2011,514600,NA,NA,NA,198185000,150061000,259.6563817,342.9272096,NA,NA,NA,60,,,,,,,,,,,,
Brazil,2012,549800,NA,NA,NA,199978000,152357000,274.9302423,360.8629731,NA,NA,NA,60.1,,,,,,,,,,,,
Brazil,2013,581400,NA,NA,NA,201722000,154634000,288.2184392,375.984583,0.49,NA,NA,60.4,,,,,,,,,,,,
Brazil,2014,622200,NA,NA,NA,203460000,156872000,305.8094957,396.6290989,NA,NA,NA,60.8,,,,,,,,,,,,
Brazil,2015,698600,NA,NA,NA,205188000,159025000,340.4682535,439.3019965,NA,NA,NA,60.7,,,,,,,,,,,,
Brazil,2016,722120,549361,NA,NA,206860000,161120000,349.0863386,448.1876862,NA,NA,NA,60.8,,,,,,,,,,,,
Brazil,2017,722716,625320,NA,NA,208505000,163160000,346.6180667,442.9492523,NA,NA,NA,61.2,,,,,,,,,,,,
Brazil,2018,744532,673217,NA,NA,210167000,165108000,354.2573287,450.9363568,NA,NA,NA,61.4,,,,,,,,,,,,
Brazil,2019,755274,744785,NA,NA,211783000,167001000,356.6263581,452.2571721,,NA,NA,61.6,,,,,,,,,,,,
Brazil,2020,807145,614895,NA,NA,213196000,168777000,378.592938,478.2316311,NA,NA,NA,60.2,,,,,,,,,,,,
Brazil,2021,835643,671288,NA,NA,214326000,170302000,389.8934334,490.6830219,NA,NA,NA,58.9,,,,,,,,,,,,
Brazil,2022,837443,NA,NA,NA,215313000,171604461,388.9421447,488.0077098,NA,NA,NA,59.6,,,,,,,,,,,,
Argentina,1990,NA,NA,NA,NA,32638000,22715000,NA,NA,NA,NA,NA,59.2,,,,,,,,,,,,
Argentina,1991,NA,NA,NA,NA,33106000,23109000,NA,NA,NA,NA,NA,59.7,,,,,,,,,,,,
Argentina,1992,21016,NA,NA,NA,33568000,23507000,62.607245,89.40315651,NA,NA,NA,59.7,,,,,,,,,,,,
Argentina,1993,NA,NA,NA,NA,34027000,23907000,NA,NA,NA,NA,NA,59.8,,,,,,,,,,,,
Argentina,1994,NA,NA,NA,NA,34489000,24311000,NA,NA,NA,NA,NA,60.3,,,,,,,,,,,,
Argentina,1995,25852,NA,NA,NA,34946000,24713000,73.97699308,104.6089103,NA,NA,NA,60.2,,,,,,,,,,,,
Argentina,1996,NA,NA,NA,NA,35389000,25108000,NA,NA,NA,NA,NA,60.3,,,,,,,,,,,,
Argentina,1997,NA,NA,NA,NA,35816000,25493000,NA,NA,NA,NA,NA,60,,,,,,,,,,,,
Argentina,1998,NA,NA,NA,NA,36233000,25871000,NA,NA,NA,NA,NA,60.4,,,,,,,,,,,,
Argentina,1999,NA,NA,NA,NA,36653000,26249000,NA,NA,NA,NA,NA,60.6,,,,,,,,,,,,
Argentina,2000,37885,NA,NA,NA,37071000,26624000,102.1957865,142.2964243,NA,NA,NA,60.7,,,,,,,,,,,,
Argentina,2001,NA,NA,NA,NA,37480000,26999000,NA,NA,NA,NA,NA,60.9,,,,,,,,,,,,
Argentina,2002,57632,NA,NA,NA,37885000,27378000,152.1235317,210.5047849,0.28,NA,NA,61.1,,,,,,,,,,,,
Argentina,2003,NA,NA,NA,NA,38278000,27754000,NA,NA,0.28,NA,NA,60.7,,,,,,,,,,,,
Argentina,2004,65351,NA,NA,NA,38669000,28133000,169.0010086,232.2930366,0.28,NA,NA,61.4,,,,,,,,,,,,
Argentina,2005,NA,NA,NA,NA,39071000,28526000,NA,NA,0.29,NA,NA,61.7,,,,,,,,,,,,
Argentina,2006,60621,NA,NA,NA,39477000,28928000,153.5603009,209.5582135,0.3,NA,NA,61.9,,,,,,,,,,,,
Argentina,2007,NA,NA,NA,NA,39876000,29327000,NA,NA,0.307,NA,NA,61.4,,,,,,,,,,,,
Argentina,2008,60611,NA,NA,NA,40274000,29731000,150.4965983,203.8646531,0.323,NA,NA,62,,,,,,,,,,,,
Argentina,2009,NA,NA,NA,NA,40684000,30148000,NA,NA,0.32,NA,NA,62.3,,,,,,,,,,,,
Argentina,2010,65095,NA,NA,NA,41100000,30562000,158.3819951,212.9932596,0.312,NA,NA,62,,,,,,,,,,,,
Argentina,2011,NA,NA,NA,NA,41521000,30967000,NA,NA,0.32,NA,NA,62.4,,,,,,,,,,,,
Argentina,2012,66079,NA,NA,NA,41952000,31368000,157.5109649,210.6573578,0.28,NA,NA,62.7,,,,,,,,,,,,
Argentina,2013,69706,78216,NA,NA,42388000,31767000,164.4474851,219.4289672,0.31,NA,NA,62.7,,,,,,,,,,,,
Argentina,2014,75319,72099,NA,NA,42824000,32165000,175.8803475,234.1644645,0.28,NA,NA,62.9,,,,,,,,,,,,
Argentina,2015,76998,90181,NA,NA,43257000,32560000,178.0012484,236.480344,0.29,NA,NA,62.9,,,,,,,,,,,,
Argentina,2016,81975,NA,NA,NA,43668000,32936000,187.7232756,248.8917901,0.295,NA,NA,62.4,,,,,,,,,,,,
Argentina,2017,92161,NA,NA,NA,44055000,33303000,209.195324,276.7348287,0.26,NA,NA,62.9,,,,,,,,,,,,
Argentina,2018,103209,NA,NA,NA,44414000,33669000,232.3794299,306.5401408,NA,NA,NA,63,,,,,,,,,,,,
Argentina,2019,109405,NA,NA,NA,44746000,34034000,244.5023019,321.4579538,0.28,NA,NA,63.3,,,,,,,,,,,,
Argentina,2020,106559,NA,NA,NA,45036000,34382000,236.608491,309.9267058,0.27,NA,NA,61.8,,,,,,,,,,,,
Argentina,2021,114074,NA,NA,NA,45277000,34702000,251.9469046,328.7245692,0.28,NA,NA,61.3,,,,,,,,,,,,
Argentina,2022,NA,NA,NA,NA,45390000,34997000,NA,NA,NA,NA,NA,58.8,,,,,,,,,,,,
Colombia,1990,32387,NA,NA,NA,32601000,20769000,99.34357842,155.9391401,NA,NA,NA,56.5,,,,,,,,,,,,
Colombia,1991,26450,NA,NA,NA,33273000,21283000,79.49388393,124.2775924,NA,NA,NA,56.6,,,,,,,,,,,,
Colombia,1992,27316,NA,NA,NA,33939000,21802000,80.48557706,125.2912577,NA,NA,NA,56.7,,,,,,,,,,,,
Colombia,1993,29114,NA,NA,NA,34615000,22341000,84.10804564,130.3164585,NA,NA,NA,57,,,,,,,,,,,,
Colombia,1994,29343,NA,NA,NA,35295000,22899000,83.13642159,128.1409669,NA,NA,NA,57.2,,,,,,,,,,,,
Colombia,1995,33258,NA,NA,NA,35970000,23468000,92.46038365,141.7163798,NA,NA,NA,57.4,,,,,,,,,,,,
Colombia,1996,39676,NA,NA,NA,36633000,24041000,108.306718,165.0347323,NA,NA,NA,57.6,,,,,,,,,,,,
Colombia,1997,42028,NA,NA,NA,37292000,24625000,112.6997748,170.6720812,NA,NA,NA,57.8,,,,,,,,,,,,
Colombia,1998,44398,NA,NA,NA,37944000,25217000,117.0092768,176.0637665,NA,NA,NA,58,,,,,,,,,,,,
Colombia,1999,45064,NA,NA,NA,38585000,25810000,116.7914993,174.5989926,NA,NA,NA,58.1,,,,,,,,,,,,
Colombia,2000,51518,NA,NA,NA,39215000,26406000,131.373199,195.0995986,NA,NA,NA,58.5,,,,,,,,,,,,
Colombia,2001,49302,NA,NA,NA,39838000,27009000,123.7562127,182.5391536,NA,NA,NA,58.6,,,,,,,,,,,,
Colombia,2002,52936,NA,NA,NA,40454000,27621000,130.854798,191.6512798,NA,NA,NA,59,,,,,,,,,,,,
Colombia,2003,62277,NA,NA,NA,41058000,28238000,151.6805495,220.5432396,NA,NA,NA,59.3,,,,,,,,,,,,
Colombia,2004,68020,NA,NA,NA,41648000,28862000,163.3211679,235.6732035,NA,NA,NA,59.6,,,,,,,,,,,,
Colombia,2005,66829,NA,NA,NA,42221000,29490000,158.2837924,226.615802,NA,NA,NA,59.9,,,,,,,,,,,,
Colombia,2006,60021,NA,NA,NA,42773000,30123000,140.3245038,199.2530624,NA,NA,NA,60.3,,,,,,,,,,,,
Colombia,2007,63603,NA,NA,NA,43307000,30762000,146.8654028,206.7583382,NA,NA,NA,60.6,,,,,,,,,,,,
Colombia,2008,69979,NA,NA,NA,43815000,31392000,159.7147096,222.9198522,NA,NA,NA,61,,,,,,,,,,,,
Colombia,2009,75992,NA,NA,NA,44314000,32022000,171.4853094,237.3118481,NA,NA,NA,61.4,,,,,,,,,,,,
Colombia,2010,84444,NA,NA,NA,44816000,32657000,188.4237772,258.578559,NA,NA,NA,61.7,,,,,,,,,,,,
Colombia,2011,100451,NA,NA,NA,45309000,33284000,221.7020901,301.7996635,NA,NA,NA,61.9,,,,,,,,,,,,
Colombia,2012,113884,NA,NA,NA,45782000,33893000,248.7527849,336.0103856,NA,NA,NA,62.1,,,,,,,,,,,,
Colombia,2013,120032,NA,NA,NA,46238000,34485000,259.5960033,348.0701754,NA,NA,NA,62.3,,,,,,,,,,,,
Colombia,2014,113623,NA,NA,NA,46678000,35062000,243.4187412,324.0630882,NA,NA,NA,62.5,,,,,,,,,,,,
Colombia,2015,120444,NA,NA,NA,47120000,35635000,255.6112054,337.9935457,0.173,NA,NA,62.7,,,,,,,,,,,,
Colombia,2016,118532,NA,NA,NA,47626000,36253000,248.8808634,326.957769,0.183,NA,NA,62.8,,,,,,,,,,,,
Colombia,2017,114750,NA,NA,NA,48352000,37058000,237.3221377,309.6497382,0.196,NA,NA,63,,,,,,,,,,,,
Colombia,2018,118513,NA,NA,NA,49277000,38032000,240.5036833,311.6139041,0.205,NA,NA,63.1,,,,,,,,,,,,
Colombia,2019,123078,35429,17150,0.139342531,50187000,38981000,245.2388069,315.7384367,0.223,NA,NA,63,,,,,,,,,,,,
Colombia,2020,97414,19555,24012,0.246494344,50931000,39766000,191.2666156,244.9680632,0.219,NA,NA,61,,,,,,,,,,,,
Colombia,2021,96386,18562,27582,0.286161891,51517000,40391000,187.0955219,238.6323686,0.223,NA,NA,59,,,,,,,,,,,,
Colombia,2022,97129,9728,24475,0.251984474,51874000,40857000,187.240236,237.7291529,NA,NA,NA,59.8,,,,,,,,,,,,
Venezuela,1990,NA,NA,NA,NA,19751000,12240000,NA,NA,NA,NA,NA,59,,,,,,,,,,,,
Venezuela,1991,NA,NA,NA,NA,20226000,12604000,NA,NA,NA,NA,NA,59.3,,,,,,,,,,,,
Venezuela,1992,31400,NA,NA,NA,20700000,12976000,151.6908213,241.9852035,NA,NA,NA,59.2,,,,,,,,,,,,
Venezuela,1993,NA,NA,NA,NA,21172000,13355000,NA,NA,NA,NA,NA,59.3,,,,,,,,,,,,
Venezuela,1994,NA,NA,NA,NA,21641000,13740000,NA,NA,NA,NA,NA,59.1,,,,,,,,,,,,
Venezuela,1995,NA,NA,NA,NA,22107000,14130000,NA,NA,NA,NA,NA,59.4,,,,,,,,,,,,
Venezuela,1996,22791,NA,NA,NA,22572000,14525000,100.9702286,156.908778,NA,NA,NA,59.3,,,,,,,,,,,,
Venezuela,1997,NA,NA,NA,NA,23038000,14924000,NA,NA,NA,NA,NA,59.8,,,,,,,,,,,,
Venezuela,1998,NA,NA,NA,NA,23504000,15326000,NA,NA,NA,NA,NA,59.7,,,,,,,,,,,,
Venezuela,1999,NA,NA,NA,NA,23967000,15729000,NA,NA,NA,NA,NA,59.3,,,,,,,,,,,,
Venezuela,2000,14196,NA,NA,NA,24428000,16134000,58.11364009,87.98809967,NA,NA,NA,59.4,,,,,,,,,,,,
Venezuela,2001,NA,NA,NA,NA,24880000,16539000,NA,NA,NA,NA,NA,58,,,,,,,,,,,,
Venezuela,2002,19368,NA,NA,NA,25331000,16952000,76.45967392,114.2520057,NA,NA,NA,59.5,,,,,,,,,,,,
Venezuela,2003,NA,NA,NA,NA,25782000,17369000,NA,NA,NA,NA,NA,58.7,,,,,,,,,,,,
Venezuela,2004,19951,NA,NA,NA,26227000,17783000,76.07046174,112.1914188,NA,NA,NA,59.2,,,,,,,,,,,,
Venezuela,2005,NA,NA,NA,NA,26669000,18195000,NA,NA,NA,NA,NA,59.4,,,,,,,,,,,,
Venezuela,2006,19257,NA,NA,NA,27102000,18598000,71.05379677,103.5433918,NA,NA,NA,59.3,,,,,,,,,,,,
Venezuela,2007,NA,NA,NA,NA,27525000,18991000,NA,NA,NA,NA,NA,59.6,,,,,,,,,,,,
Venezuela,2008,24069,NA,NA,NA,27934000,19370000,86.16381471,124.2591637,NA,NA,NA,58.9,,,,,,,,,,,,
Venezuela,2009,NA,NA,NA,NA,28328000,19736000,NA,NA,NA,NA,NA,59.1,,,,,,,,,,,,
Venezuela,2010,40825,NA,NA,NA,28715000,20096000,142.1730803,203.1498806,NA,NA,NA,59.4,,,,,,,,,,,,
Venezuela,2011,NA,NA,NA,NA,29096000,20453000,NA,NA,NA,NA,NA,59.4,,,,,,,,,,,,
Venezuela,2012,45224,NA,NA,NA,29470000,20806000,153.4577536,217.3603768,NA,NA,NA,59.5,,,,,,,,,,,,
Venezuela,2013,NA,NA,NA,NA,29838000,21159000,NA,NA,NA,NA,NA,59.7,,,,,,,,,,,,
Venezuela,2014,51256,NA,NA,NA,30193000,21504000,169.7612029,238.3556548,NA,NA,NA,59.3,,,,,,,,,,,,
Venezuela,2015,NA,NA,NA,NA,30530000,21839000,NA,NA,NA,NA,NA,59.5,,,,,,,,,,,,
Venezuela,2016,54738,NA,NA,NA,30741000,22065000,178.0618718,248.0761387,NA,NA,NA,58.6,,,,,,,,,,,,
Venezuela,2017,NA,NA,NA,NA,30563000,21951000,NA,NA,NA,NA,NA,58.5,,,,,,,,,,,,
Venezuela,2018,46915,NA,NA,NA,29826000,21356000,157.2956481,219.6806518,NA,NA,NA,58.5,,,,,,,,,,,,
Venezuela,2019,NA,NA,NA,NA,28972000,20685000,NA,NA,NA,NA,NA,58.7,,,,,,,,,,,,
Venezuela,2020,37543,NA,NA,NA,28490000,20375000,131.7760618,184.2601227,NA,NA,NA,57.7,,,,,,,,,,,,
Venezuela,2021,NA,NA,NA,NA,28200000,20256000,NA,NA,NA,NA,NA,57.1,,,,,,,,,,,,
Venezuela,2022,NA,NA,NA,NA,28302000,20498000,NA,NA,NA,NA,NA,57.6,,,,,,,,,,,,
Ecuador,1990,7679,NA,NA,NA,10450000,6408000,73.48325359,119.8345818,NA,NA,NA,58.9,,,,,,,,,,,,
Ecuador,1991,NA,NA,NA,NA,10686000,6589000,NA,NA,NA,NA,NA,59,,,,,,,,,,,,
Ecuador,1992,NA,NA,NA,NA,10914000,6764000,NA,NA,NA,NA,NA,59.3,,,,,,,,,,,,
Ecuador,1993,NA,NA,NA,NA,11133000,6933000,NA,NA,NA,NA,NA,59.3,,,,,,,,,,,,
Ecuador,1994,NA,NA,NA,NA,11348000,7101000,NA,NA,NA,NA,NA,59.4,,,,,,,,,,,,
Ecuador,1995,9646,NA,NA,NA,11562000,7269000,83.42847258,132.700509,NA,NA,NA,59.5,,,,,,,,,,,,
Ecuador,1996,NA,NA,NA,NA,11775000,7440000,NA,NA,NA,NA,NA,59.6,,,,,,,,,,,,
